ID,Fishing date,Month,Latitude,Longitude,Big eye,Yellowfin,Other,Shark,Albacore,Skipjack,Total
BOFI_07_08_2021,6/30/2021,June,8.15,132.4,2,3,2,0,0,0,7
BOFI_07_08_2021,7/1/201,July,8.23,132.24,0,5,2,0,0,0,7
BOFI_07_08_2021,7/2/2021,July,8.05,132.18,3,4,4,4,0,0,15
BOFI_07_08_2021,7/3/2021,July,8,132.1,6,2,4,0,0,0,12
BOFI_07_08_2021,7/4/2021,July,8,132,8,0,1,3,0,0,12
BOFI_07_08_2021,7/5/2021,July,7.55,132.05,3,3,6,6,0,0,18
BOFI_07_08_2021,7/6/2021,July,8.06,132.11,1,1,0,0,0,0,2
BOFI_07_21_2021,7/11/2021,July,7.12,132.4,0,0,1,0,0,0,1
BOFI_07_21_2021,7/12/2021,July,7.3,132,1,0,5,0,0,0,6
BOFI_07_21_2021,7/13/2021,July,8.15,131.5,2,3,0,3,0,0,8
BOFI_07_21_2021,7/14/2021,July,8.1,131.55,2,1,1,0,0,0,4
BOFI_07_21_2021,7/16/2021,July,8.02,133,1,0,4,0,0,0,5
BOFI_07_21_2021,7/17/2021,July,8.11,133.18,1,0,1,5,0,0,7
BOFI_07_21_2021,7/19/2021,July,7.25,133.39,3,3,4,0,0,0,10
BOFI_07_21_2021,7/20/2021,July,7.25,133.4,1,16,3,2,0,0,22
BOFI_08_2_2021,7/25/2021,July,7.14,133.33,0,1,10,0,0,0,11
BOFI_08_2_2021,7/26/2021,July,7.3,133.4,0,4,3,3,2,0,12
BOFI_08_2_2021,7/27/2021,July,7.33,133.39,3,2,0,0,0,0,5
BOFI_08_2_2021,7/28/2021,July,7.5,133.32,4,2,5,0,0,0,11
BOFI_08_2_2021,7/29/2021,July,8,133.32,1,1,0,0,0,0,2
BOFI_08_2_2021,7/30/2021,July,8.05,133.36,2,1,5,4,0,0,12
BOFI_08_2_2021,7/31/2021,July,8,133.36,1,3,6,2,0,0,12
BOFI_08_12_2021,8/4/2021,August,7.48,133.4,2,3,1,0,0,0,6
BOFI_08_12_2021,8/5/2021,August,7.48,133.4,1,5,0,2,0,0,8
BOFI_08_12_2021,8/6/2021,August,7.48,133.4,3,3,5,0,0,0,11
BOFI_08_12_2021,8/7/2021,August,7.42,133.4,1,0,1,3,0,0,5
BOFI_08_12_2021,8/8/2021,August,7.57,133.15,2,0,5,0,1,0,8
BOFI_08_12_2021,8/9/2021,August,8,13.23,2,1,2,0,0,0,5
BOFI_08_12_2021,8/10/2021,August,7.5,133.3,5,1,0,0,1,0,7
BOFI_08_12_2021,8/11/2021,August,7.5,133.3,6,0,1,5,0,0,12
BOFI_09_1_2021,8/22/2021,August,8.05,133.4,3,0,7,0,0,0,10
BOFI_09_1_2021,8/23/2021,August,8.1,133.3,3,5,6,0,0,0,14
BOFI_09_1_2021,8/24/2021,August,8.1,133.3,0,4,5,0,0,0,9
BOFI_09_1_2021,8/26/2021,August,7.48,133.2,2,4,6,3,0,0,15
BOFI_09_1_2021,8/27/2021,August,7.52,133.25,1,9,4,0,0,0,14
BOFI_09_1_2021,8/28/2021,August,7.52,133.25,0,1,0,0,0,0,1
BOFI_09_1_2021,8/29/2021,August,7.45,133.4,1,3,1,5,0,0,10
BOFI_09_1_2021,8/30/2021,August,7.41,133.35,2,10,3,6,0,0,21
BOFI_09_09_2021,9/2/2021,September,7.45,133.4,1,4,0,0,0,0,5
BOFI_09_09_2021,9/3/2021,September,7.45,133.4,0,1,3,3,0,0,7
BOFI_09_09_2021,9/4/2021,September,8,133.15,0,5,4,0,0,0,9
BOFI_09_09_2021,9/5/2021,September,8.15,133,1,6,6,5,0,0,18
BOFI_09_09_2021,9/6/2021,September,8,133.1,2,4,2,0,0,0,8
BOFI_09_09_2021,9/7/2021,September,7.5,133.1,4,8,1,4,0,0,17
BOFI_09_09_2021,9/8/2021,September,7.5,133.2,8,11,2,3,0,0,24
BOFI_09_15_2021,9/11/2021,September,7.3,133.4,1,5,4,0,0,0,10
BOFI_09_15_2021,9/12/2021,September,7.53,133.34,3,3,2,3,0,0,11
BOFI_09_15_2021,9/13/2021,September,8,133.34,1,1,2,4,0,0,8
BOFI_09_15_2021,9/14/2021,September,7.5,133.3,2,0,4,0,0,0,6
BOFI_09_28_2021,9/17/2021,September,7.52,132.42,1,1,5,0,0,0,7
BOFI_09_28_2021,9/18/2021,September,7.45,132.41,0,1,1,3,0,0,5
BOFI_09_28_2021,9/19/2021,September,8,132.36,1,1,3,0,0,0,5
BOFI_09_28_2021,9/21/2021,September,8.1,132,2,1,1,0,0,0,4
BOFI_09_28_2021,9/22/2021,September,8.23,132.3,1,0,2,0,0,0,3
BOFI_09_28_2021,9/23/2021,September,8,133,2,2,7,3,0,0,14
BOFI_09_28_2021,9/24/2021,September,7.55,133.35,2,1,1,0,0,0,4
BOFI_09_28_2021,9/25/2021,September,7.53,133.4,1,4,5,0,0,0,10
BOFI_10_13_2021,10/1/2021,October,7.1,133.3,0,0,4,0,0,0,4
BOFI_10_13_2021,10/2/2021,October,7.3,133.35,1,0,5,2,0,0,8
BOFI_10_13_2021,10/3/2021,October,7.5,133.3,0,0,3,0,0,0,3
BOFI_10_13_2021,10/5/2021,October,9.15,131.45,1,1,8,0,0,0,10
BOFI_10_13_2021,10/6/2021,October,8.58,131.45,3,0,3,0,0,0,6
BOFI_10_13_2021,10/7/2021,October,8.48,131.47,2,0,2,0,0,0,4
BOFI_10_13_2021,10/8/2021,October,8.28,131.47,2,0,1,0,0,0,3
BOFI_10_13_2021,10/9/2021,October,8.23,132.05,2,3,0,0,0,0,5
BOFI_10_13_2021,10/10/2021,October,8.05,132.2,3,2,2,5,0,0,12
BOFI_10_13_2021,10/11/2021,October,8.01,132.55,3,1,0,0,0,0,4
BOFI_10_13_2021,10/12/2021,October,8.01,133.2,1,2,1,2,0,0,6
BOFI_10_26_2021,10/16/2021,October,7.59,133.27,1,0,6,0,0,0,7
BOFI_10_26_2021,10/17/2021,October,7.45,133.06,4,0,4,0,0,0,8
BOFI_10_26_2021,10/18/2021,October,7.45,132.45,2,0,5,3,0,0,10
BOFI_10_26_2021,10/19/2021,October,8.07,132.32,1,0,3,0,0,0,4
BOFI_10_26_2021,10/20/2021,October,8.1,132.1,0,0,8,5,1,0,14
BOFI_10_26_2021,10/22/2021,October,7.5,133.1,0,1,4,0,0,0,5
BOFI_10_26_2021,10/24/2021,October,8.15,133.3,2,1,4,0,0,0,7
BOFI_10_26_2021,10/25/2021,October,8.15,133.4,1,1,0,0,0,0,2
BOFI_11_11_2021,10/31/2021,October,8.08,133.42,3,1,1,0,0,0,5
BOFI_11_11_2021,11/1/2021,November,8.08,133.4,4,1,4,0,0,0,9
BOFI_11_11_2021,11/2/2021,November,8.08,133.41,2,0,0,5,0,0,7
BOFI_11_11_2021,11/3/2021,November,8.25,133.51,2,0,4,0,0,0,6
BOFI_11_11_2021,11/4/2021,November,8.15,133.45,2,3,4,3,0,0,12
BOFI_11_11_2021,11/5/2021,November,8.15,133.3,5,0,4,0,0,0,9
BOFI_11_11_2021,11/6/2021,November,8.11,133.53,4,0,3,0,0,0,7
BOFI_11_11_2021,11/8/2021,November,8.03,133.37,1,0,0,0,0,0,1
BOFI_11_11_2021,11/9/2021,November,7.42,133.45,1,0,0,3,0,0,4
BOFI_11_11_2021,11/10/2021,November,8.11,133.45,0,1,12,0,0,0,13
BOFI_11_23_2021,11/16/2021,November,8.12,133.24,0,0,2,0,0,0,2
BOFI_11_23_2021,11/17/2021,November,8.3,133.3,4,0,1,0,0,0,5
BOFI_11_23_2021,11/19/2021,November,8.3,133.5,2,0,2,3,0,0,7
BOFI_11_23_2021,11/20/2021,November,8.15,133.4,1,0,1,0,0,0,2
BOFI_11_23_2021,11/21/2021,November,7.4,133.3,1,0,0,4,0,0,5
BOFI_11_23_2021,11/22/2021,November,7.58,133.31,2,1,2,0,0,0,5
BOFI_12_9_2021,11/27/2021,November,7.5,133.13,0,0,3,0,0,0,3
BOFI_12_9_2021,11/28/2021,November,8.12,133.1,2,0,3,5,0,0,10
BOFI_12_9_2021,11/29/2021,November,8.2,132.5,2,0,3,2,0,0,7
BOFI_12_9_2021,11/30/2021,November,8.27,132.33,3,0,2,0,0,0,5
BOFI_12_9_2021,12/1/2021,December,8.3,132.1,0,0,6,0,0,0,6
BOFI_12_9_2021,12/2/2021,December,8.45,131.55,1,0,9,0,0,0,10
BOFI_12_9_2021,12/4/2021,December,8,131.3,0,0,8,0,0,0,8
BOFI_12_9_2021,12/6/2021,December,7.26,133.3,2,1,7,0,0,0,10
BOFI_12_9_2021,12/8/2021,December,7.28,133.27,2,0,0,0,0,0,2
BOFI_12_27_2021,12/18/2021,December,7.29,133.35,4,1,0,0,0,0,5
BOFI_12_27_2021,12/19/2021,December,7.3,133.4,2,0,0,0,0,0,2
BOFI_12_27_2021,12/20/2021,December,7.33,133.35,3,2,2,3,0,0,10
BOFI_12_27_2021,12/21/2021,December,7.24,133.34,4,2,3,0,0,0,9
BOFI_12_27_2021,12/22/2021,December,7.24,133.34,3,1,2,0,0,0,6
BOFI_12_27_2021,12/24/2021,December,8,133.5,1,4,6,0,0,0,11
BOFI_12_27_2021,12/25/2021,December,8,133.52,1,2,6,3,0,0,12
BOFI_12_27_2021,12/26/2021,December,8.02,133.45,1,0,7,0,0,0,8
BOFI_1_19_2022,1/7/2022,January,3.07,141.3,3,2,5,0,0,0,10
BOFI_1_19_2022,1/8/2022,January,3.07,142,1,8,1,0,0,0,10
BOFI_1_19_2022,1/9/2022,January,3,142.07,5,18,4,3,0,0,30
BOFI_1_19_2022,1/10/2022,January,3.04,142.05,9,15,0,2,5,0,31
BOFI_1_19_2022,1/11/2022,January,3.04,141.56,5,14,4,0,0,0,23
BOFI_1_19_2022,1/12/2022,January,3.04,141.58,4,2,1,1,0,0,8
BOFI_1_19_2022,1/13/2022,January,3.04,142.5,10,2,4,3,0,0,19
BOFI_1_19_2022,1/14/2022,January,3.06,143.15,8,10,3,0,0,0,21
BOFI_2_8_2022,1/28/2022,January,3.13,140.3,4,3,1,0,0,0,8
BOFI_2_8_2022,1/30/2022,January,2.55,142.5,5,15,1,0,2,0,23
BOFI_2_8_2022,1/31/2022,January,2.53,142.55,10,15,5,3,1,0,34
BOFI_2_8_2022,2/1/2022,February,2.5,142.5,10,20,4,0,1,3,38
BOFI_2_8_2022,2/2/2022,February,2.5,142.4,6,20,2,0,1,0,29
BOFI_2_8_2022,2/3/2022,February,2.51,142.36,7,23,1,0,1,0,32
BOFI_2_8_2022,2/4/2022,February,3.2,141.2,4,9,5,0,1,3,22
BOFI_3_2_2022,2/15/2022,February,8.1,133.3,0,0,3,5,0,0,8
BOFI_3_2_2022,2/18/2022,February,7.55,132.5,1,1,0,0,0,0,2
BOFI_3_2_2022,2/19/2022,February,7.57,132.22,1,2,1,0,0,0,4
BOFI_3_2_2022,2/20/2022,February,8,132.05,0,0,1,0,0,0,1
BOFI_3_2_2022,2/23/2022,February,8.25,133.1,1,1,1,0,0,0,3
BOFI_3_2_2022,2/24/2022,February,8.2,133.4,5,0,0,3,0,0,8
BOFI_3_2_2022,2/25/2022,February,8.15,133.53,4,2,0,0,0,0,6
BOFI_3_2_2022,2/26/2022,February,8.18,133.5,3,0,5,0,0,0,8
BOFI_3_2_2022,2/27/2022,February,8.3,133.45,1,0,6,0,0,0,7
BOFI_3_2_2022,2/28/2022,February,8.18,133.18,4,1,0,0,0,0,5
BOFI_3_2_2022,3/1/2022,March,8.05,133.5,4,2,3,3,0,0,12
