Date,ID,Species,FL_cm,Total_weight_kg,Total_weight_g,Sex,Gonad_weight_g,GSI,Sample
09/01/2021,09_1_YF,Yellowfin Tuna,123,32.9,32900,Male,508,1.544072948,Yes
09/01/2021,09_2_YF,Yellowfin Tuna,125,37.1,37100,Male,290,0.781671159,Yes
09/01/2021,09_3_BE,Big Eye,128,40.1,40100,Male,112.3,0.280049875,Yes
09/01/2021,09_4_YF,Yellowfin Tuna,129,38,38000,Male,319.9,0.841842105,Yes
09/01/2021,09_5_YF,Yellowfin Tuna,128,36.4,36400,Male,285.6,0.784615385,Yes
09/01/2021,09_6_YF,Yellowfin Tuna,131,38.4,38400,Male,285.7,0.744010417,Yes
09/01/2021,09_7_BE,Big Eye,146,61.1,61100,Male,251.4,0.411456628,Yes
09/09/2021,09_8_BE,Big Eye,132,44.2,44200,Male,269.4,0.609502262,Yes
09/09/2021,09_9_YF,Yellowfin Tuna,110,25.5,25500,Female,214.1,0.839607843,Yes
09/09/2021,09_10_BE,Big Eye,137,47.1,47100,Male,296.8,0.63014862,Yes
09/09/2021,09_11_YF,Yellowfin Tuna,102,18.5,18500,Female,347.2,1.876756757,Yes
09/09/2021,09_12_YF,Yellowfin Tuna,129,36.3,36300,Female,472.7,1.302203857,Yes
09/09/2021,9_13_BE,Big Eye,126,38.8,38800,Female,257.5,0.663659794,Yes
09/09/2021,09_14_YF,Yellowfin Tuna,128,34.7,34700,Male,277.4,0.799423631,Yes
09/28/2021,09_15_YF,Yellowfin Tuna,145,33.6,33600,Male,211.7,0.630059524,Yes
09/28/2021,09_16_BE,Big Eye,124,37.9,37900,Male,94,0.248021108,Yes
09/28/2021,09_17_YF,Yellowfin Tuna,124,34.4,34400,Male,311.6,0.905813953,Yes
09/28/2021,09_18_YF,Yellowfin Tuna,122,31.8,31800,Male,292.4,0.919496855,No
09/28/2021,09_19_BE,Big Eye,128,41.1,41100,Male,276.9,0.673722628,Yes
09/28/2021,09_20_BE,Big Eye,136,46,46000,Male,250.6,0.544782609,Yes
10/13/2021,10_1_BE,Big Eye,134,44.3,44300,Male,97.1,0.219187359,Yes
10/13/2021,10_2_BE,Big Eye,130,41.5,41500,Male,185.1,0.446024096,Yes
10/13/2021,10_3_BE,Big Eye,134,47.7,47700,Male,237.8,0.498532495,Yes
10/13/2021,10_4_YF,Yellowfin Tuna,127,36.5,36500,Male,208.4,0.570958904,Yes
10/13/2021,10_5_BE,Big Eye,132,48.3,48300,Male,187.5,0.388198758,Yes
10/13/2021,10_6_BE,Big Eye,148,59,59000,Male,221.4,0.375254237,Yes
10/13/2021,10_7_YF,Yellowfin Tuna,120,31,31000,Female,199.2,0.642580645,Yes
10/13/2021,10_8_YF,Yellowfin Tuna,124,31.8,31800,Female,448.8,1.411320755,Yes
10/13/2021,10_9_YF,Yellowfin Tuna,118,28,28000,Male,109,0.389285714,Yes
10/26/2021,10_10_BE,Big Eye,99,19.1,19100,Female,84.5,0.442408377,Yes
10/26/2021,10_11_BE,Big Eye,115,30.4,30400,Male,253.6,0.834210526,Yes
10/26/2021,10_12_BE,Big Eye,135,47.1,47100,Female,751,1.59447983,Yes
10/26/2021,10_13_BE,Big Eye,135,47.7,47700,Male,280.5,0.588050314,Yes
10/26/2021,10_14_BE,Big Eye,136,49.6,49600,Male,430.2,0.86733871,Yes
10/26/2021,10_15_BE,Big Eye,133,44.2,44200,Male,271.1,0.613348416,Yes
10/26/2021,10_16_BE,Big Eye,127,40,40000,Male,403.7,1.00925,Yes
10/26/2021,10_17_BE,Big Eye,134,45.5,45500,Male,330.2,0.725714286,Yes
11/11/2021,11_1_YF,Yellowfin Tuna,126,32.8,32800,Male,111.5,0.339939024,Yes
11/11/2021,11_2_YF,Yellowfin Tuna,117,28,28000,Male,179,0.639285714,Yes
11/11/2021,11_3_BE,Big Eye,128,40.8,40800,Male,179.7,0.440441176,Yes
11/11/2021,11_4_BE,Big Eye,130,42.1,42100,Female,362.7,0.86152019,Yes
11/11/2021,11_5_BE,Big Eye,132,48.6,48600,Male,139.5,0.287037037,Yes
11/11/2021,11_6_BE,Big Eye,116,29.6,29600,Male,170.5,0.576013514,Yes
11/11/2021,11_7_BE,Big Eye,133,44,44000,Female,296.3,0.673409091,Yes
11/23/2021,11_8_BE,Big Eye,120,32.8,32800,Male,97.3,0.296646341,Yes
11/23/2021,11_9_BE,Big Eye,136,45.8,45800,Female,224.6,0.490393013,Yes
11/23/2021,11_10_BE,Big Eye,123,38.5,38500,Female,245.8,0.638441558,Yes
11/23/2021,11_11_BE,Big Eye,127,41,41000,Female,196.6,0.479512195,Yes
11/23/2021,11_12_BE,Big Eye,142,53.1,53100,Female,323.2,0.6086629,Yes
12/9/2021,12_1_BE,Big Eye,137,50.2,50200,Male,168.4,0.335458167,Yes
12/9/2021,12_2_BE,Big Eye,141,55.2,55200,Male,190.2,0.344565217,Yes
12/9/2021,12_3_BE,Big Eye,146,62.1,62100,Male,251,0.404186795,Yes
12/9/2021,12_4_BE,Big Eye,140,54.2,54200,Female,341.1,0.629335793,Yes
12/9/2021,12_5_BE,Big Eye,130,41.7,41700,Male,197.2,0.472901679,Yes
12/9/2021,12_6_BE,Big Eye,135,47.9,47900,Male,180.3,0.376409186,Yes
12/27/2021,12_7_BE,Big Eye,136,51.2,51200,Male,350.6,0.684765625,Yes
12/27/2021,12_8_BE,Big Eye,125,37.8,37800,Female,253.3,0.67010582,Yes
12/27/2021,12_9_BE,Big Eye,130,44,44000,Male,255,0.579545455,Yes
12/27/2021,12_10_BE,Big Eye,130,42.6,42600,Female,585.2,1.37370892,Yes
12/27/2021,12_11_BE,Big Eye,152,67.1,67100,Male,297.8,0.443815201,Yes
12/27/2021,12_12_BE,Big Eye,121,38,38000,,,,Yes
1/19/2022,1_1_BE,Big Eye,104,23.5,23500,Male,267.2,1.137021277,Yes
1/19/2022,1_2_BE,Big Eye,136,49.6,49600,Male,255.5,0.515120968,Yes
1/19/2022,1_3_BE,Big Eye,115,36.6,36600,Male,277.6,0.758469945,Yes
1/19/2022,1_4_YF,Yellowfin Tuna,123,33.5,33500,Female,179.2,0.534925373,Yes
1/19/2022,1_5_BE,Big Eye,105,24.7,24700,Female,154.1,0.62388664,Yes
1/19/2022,1_6_YF,Yellowfin Tuna,132,42.4,42400,Male,190.1,0.448349057,Yes
2/14/2022,2_1_BE,Big Eye,107,26.3,26300,Female,171.9,0.653612167,Duplicate
2/14/2022,2_2_BE,Big Eye,105,23.5,23500,Female,150.1,0.638723404,Duplicate
2/14/2022,2_3_YF,Yellowfin Tuna,103,18.5,18500,Female,71.4,0.385945946,Yes
2/14/2022,2_4_BE,Big Eye,132,44.8,44800,Male,343.6,0.766964286,Yes
2/14/2022,2_5_YF,Yellowfin Tuna,105,19,19000,Female,74.3,0.391052632,Yes
3/2/2022,3_1_BE,Big Eye,118,33.1,33100,Male,140.2,0.423564955,Yes
3/2/2022,3_2_YF,Yellowfin Tuna,131,38.5,38500,Male,696.3,1.808571429,Yes
3/2/2022,3_3_BE,Big Eye,124,40.1,40100,Male,360.2,0.898254364,Yes
3/2/2022,3_4_BE,Big Eye,158,64.8,64800,Male,217.6,0.335802469,Yes
3/2/2022,3_5_YF,Yellowfin Tuna,130,38.2,38200,Male,647,1.693717277,Yes
